id,cname,planting,harvest,wsgd,gwad
14979,Masasi,2022-01-27,2022-06-05,0.601,2755
14980,Masasi,2022-01-06,2022-05-30,0,4356
14981,Masasi,2022-01-05,2022-05-29,0,4249
14982,Masasi,2022-02-02,2022-06-05,0.525,2453
14983,Masasi,2022-01-30,2022-06-05,0.765,2575
14984,Masasi,2022-01-26,2022-06-05,0.376,2859
14985,Masasi,2022-01-15,2022-06-05,0,4037
14986,Masasi,2022-01-07,2022-05-31,0,4356
14987,Masasi,2022-01-07,2022-05-31,0,4356
14988,Masasi,2022-01-30,2022-06-05,0.496,2654
14989,Masasi,2022-01-15,2022-06-05,0,4059
14990,Masasi,2022-01-24,2022-06-05,0,3020
14991,Masasi,2022-01-18,2022-06-05,0,3565
14992,Masasi,2022-01-19,2022-06-05,0.051,3442
14993,Masasi,2022-01-30,2022-06-05,0.028,2668
14994,Masasi,2022-01-11,2022-06-05,0,4223
14995,Masasi,2022-01-05,2022-05-29,0,4251
14996,Masasi,2022-01-30,2022-06-05,0.622,2638
14997,Masasi,2022-01-25,2022-06-05,0.334,2980
14998,Masasi,2022-01-24,2022-06-05,0,3021
14999,Masasi,2022-01-17,2022-06-05,0.226,3750
15000,Masasi,2022-02-03,2022-06-05,0,2376
15001,Masasi,2022-02-13,2022-06-22,0.413,2972
15002,Masasi,2022-02-07,2022-06-22,0.423,3336
15003,Masasi,2022-02-02,2022-06-22,0.389,3927
15004,Masasi,2022-01-30,2022-06-22,0,4279
15005,Masasi,2022-02-07,2022-06-22,0.375,3480
15006,Masasi,2022-02-18,2022-06-22,0.448,2368
